batch_id,model,parameters,processor,category,total_runs,count_failures,count_success,success_rate,R_efficiency,R_exponential,R_linear,R_robust,total_tokens_ave,total_tokens_mean,total_tokens_median,total_tokens_min,total_tokens_max,latency_ave,latency_mean,latency_median,latency_min,latency_max
codestral_34a5_tpusg_batch,codestral,P,tpusg,codestral_tpusg_P,30,27,3,10.0,2.6111111111111107,2.4211496151882828,3.9999999999999996,5.0,13403.333333333334,13403.333333333334,13441.5,9151,14988,95.99166666666666,95.99166666666666,96.655,48.59,129.67
codestral_366b_psg_batch,codestral,NP,psg,codestral_psg_NP,30,22,8,26.666666666666668,24.000000000000004,23.78445094412204,24.000000000000004,24.333333333333332,11268.966666666667,11268.966666666667,13558.5,2645,15053,64.49066666666667,64.49066666666667,72.35,16.17,120.98
codestral_3adb_psg_batch,codestral,P,psg,codestral_psg_P,30,28,2,6.666666666666667,1.3333333333333335,0.9022352215774181,1.333333333333333,2.0,13345.7,13345.7,13346.5,12551,14062,94.94033333333333,94.94033333333333,94.805,74.73,113.13
codestral_4b06_psg_batch,codestral,P,psg,codestral_psg_P,30,30,0,0.0,0.0,0.0,0.0,0.0,13853.366666666667,13853.366666666667,13867.0,13007,14707,76.87066666666666,76.87066666666666,76.42,60.69,95.37
codestral_62f3_psg_batch,codestral,P,psg,codestral_psg_P,30,29,1,3.3333333333333335,1.111111111111111,1.2262648039048079,2.0,2.0,13399.166666666666,13399.166666666666,13513.0,7931,14253,70.63533333333334,70.63533333333334,68.495,39.02,126.36
codestral_9eb0_psg_batch,codestral,NP,psg,codestral_psg_NP,30,25,5,16.666666666666664,7.222222222222221,7.273397342132482,10.0,11.333333333333334,12638.833333333334,12638.833333333334,13490.5,2804,14354,64.759,64.759,68.70500000000001,18.22,83.67
codestral_9eb0_tpusg_batch,codestral,NP,tpusg,codestral_tpusg_NP,30,20,10,33.33333333333333,14.388888888888888,15.518940826050242,20.666666666666664,24.666666666666664,12379.9,12379.9,13440.5,2920,16582,73.75033333333333,73.75033333333333,69.33,17.02,176.51
codestral_a277_psg_batch,codestral,NP,psg,codestral_psg_NP,21,4,17,80.95238095238095,45.23809523809524,51.31178847787283,64.76190476190476,75.23809523809524,7230.476190476191,7230.476190476191,5861.0,2606,13716,43.52571428571429,43.52571428571429,40.32,14.67,72.17
codestral_bcbe_psg_batch,codestral,NP,psg,codestral_psg_NP,21,7,14,66.66666666666666,30.714285714285715,34.83023354571636,46.666666666666664,55.714285714285715,9340.190476190477,9340.190476190477,8722.0,2936,15109,55.03857142857142,55.03857142857142,49.41,20.41,111.69
codestral_c8f6_tpusg_batch,codestral,NP,tpusg,codestral_tpusg_NP,30,20,10,33.33333333333333,11.5,11.182081358310295,16.666666666666664,20.33333333333333,12911.833333333334,12911.833333333334,13829.5,2927,15565,106.14366666666666,106.14366666666666,111.3,25.13,149.09
codestral_e6d3_psg_batch,codestral,P,psg,codestral_psg_P,30,24,6,20.0,5.555555555555555,5.42759840978868,9.333333333333332,12.000000000000002,12848.6,12848.6,13502.5,8312,14372,65.536,65.536,67.775,45.73,83.2
codestral_e6d3_tpusg_batch,codestral,P,tpusg,codestral_tpusg_P,30,22,8,26.666666666666668,7.61111111111111,7.587478427892239,12.666666666666664,15.0,12973.633333333333,12973.633333333333,13611.5,8875,15814,68.777,68.777,71.24000000000001,38.17,105.66
codestral_fc8d_tpusg_batch,codestral,P,tpusg,codestral_tpusg_P,30,28,2,6.666666666666667,1.9444444444444442,1.9700320043995738,3.3333333333333335,4.0,13466.866666666667,13466.866666666667,13616.5,8722,15568,97.23533333333333,97.23533333333333,96.875,51.47,143.98
gemma3:27b_04fd_psg_batch,gemma3:27b,NP,psg,gemma3:27b_psg_NP,30,22,8,26.666666666666668,18.055555555555554,18.551399007346493,21.333333333333336,22.666666666666668,12219.866666666667,12219.866666666667,14478.5,2424,15489,113.257,113.257,129.22,19.91,154.32
gemma3:27b_04fd_tpusg_batch,gemma3:27b,NP,tpusg,gemma3:27b_tpusg_NP,30,28,2,6.666666666666667,1.7777777777777777,1.6773824146935168,2.6666666666666665,2.9999999999999996,15268.133333333333,15268.133333333333,15622.5,9202,16162,148.76366666666667,148.76366666666667,151.95,87.37,183.62
gemma3:27b_3888_psg_batch,gemma3:27b,P,psg,gemma3:27b_psg_P,30,13,17,56.666666666666664,12.333333333333334,9.424896921644395,15.333333333333332,23.0,12887.5,12887.5,13394.5,10499,13757,96.53966666666666,96.53966666666666,99.435,75.63,108.97
gemma3:27b_3888_tpusg_batch,gemma3:27b,P,tpusg,gemma3:27b_tpusg_P,30,30,0,0.0,0.0,0.0,0.0,0.0,15261.066666666668,15261.066666666668,15255.5,15156,15439,143.51966666666667,143.51966666666667,142.345,139.66,176.06
gemma3:27b_85a9_psg_batch,gemma3:27b,NP,psg,gemma3:27b_psg_NP,30,6,24,80.0,42.77777777777778,45.71130448927416,57.99999999999999,65.33333333333334,7677.133333333333,7677.133333333333,7738.5,2402,13863,81.82,81.82,76.68,26.9,155.17
gemma3:27b_85a9_tpusg_batch,gemma3:27b,NP,tpusg,gemma3:27b_tpusg_NP,15,14,1,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,14585.2,14585.2,15335.0,3070,15842,192.23066666666668,192.23066666666668,198.27,42.33,244.3
gemma3:27b_b603_tpusg_batch,gemma3:27b,P,tpusg,gemma3:27b_tpusg_P,13,13,0,0.0,0.0,0.0,0.0,0.0,15219.846153846154,15219.846153846154,15220.0,15148,15275,194.28846153846155,194.28846153846155,193.15,190.5,210.98
gemma3:27b_d558_psg_batch,gemma3:27b,P,psg,gemma3:27b_psg_P,22,2,20,90.9090909090909,20.0,15.495748545576324,25.454545454545453,38.18181818181819,12478.272727272728,12478.272727272728,13391.5,10643,13589,96.77954545454546,96.77954545454546,100.985,80.39,109.54
phi4_00af_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2622.0,2622.0,2622.0,2622,2622,17.14,17.14,17.14,17.14,17.14
phi4_0389_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2646.0,2646.0,2646.0,2646,2646,17.52,17.52,17.52,17.52,17.52
phi4_0475_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,33.33333333333333,36.787944117144235,60.0,60.0,8148.0,8148.0,8148.0,8148,8148,51.03,51.03,51.03,51.03,51.03
phi4_05c2_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2499.0,2499.0,2499.0,2499,2499,14.7,14.7,14.7,14.7,14.7
phi4_05cf_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2750.0,2750.0,2750.0,2750,2750,19.47,19.47,19.47,19.47,19.47
phi4_078e_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2242.0,2242.0,2242.0,2242,2242,13.49,13.49,13.49,13.49,13.49
phi4_0792_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,50.0,60.653065971263345,80.0,100.0,5379.0,5379.0,5379.0,5379,5379,35.8,35.8,35.8,35.8,35.8
phi4_07c6_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,50.0,60.653065971263345,80.0,100.0,5379.0,5379.0,5379.0,5379,5379,35.8,35.8,35.8,35.8,35.8
phi4_0936_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,25.0,22.313016014842983,39.99999999999999,60.0,11420.0,11420.0,11420.0,11420,11420,80.95,80.95,80.95,80.95,80.95
phi4_0962_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2767.0,2767.0,2767.0,2767,2767,19.84,19.84,19.84,19.84,19.84
phi4_0b0e_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2750.0,2750.0,2750.0,2750,2750,19.49,19.49,19.49,19.49,19.49
phi4_0d73_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2756.0,2756.0,2756.0,2756,2756,19.6,19.6,19.6,19.6,19.6
phi4_0d9d_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2245.0,2245.0,2245.0,2245,2245,13.55,13.55,13.55,13.55,13.55
phi4_0d9e_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2242.0,2242.0,2242.0,2242,2242,13.52,13.52,13.52,13.52,13.52
phi4_0ef4_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2242.0,2242.0,2242.0,2242,2242,13.75,13.75,13.75,13.75,13.75
phi4_0f2a_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2750.0,2750.0,2750.0,2750,2750,19.5,19.5,19.5,19.5,19.5
phi4_0ff7_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,50.0,60.653065971263345,80.0,100.0,5782.0,5782.0,5782.0,5782,5782,39.81,39.81,39.81,39.81,39.81
phi4_1378_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2750.0,2750.0,2750.0,2750,2750,19.5,19.5,19.5,19.5,19.5
phi4_138d_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2242.0,2242.0,2242.0,2242,2242,13.69,13.69,13.69,13.69,13.69
phi4_16e9_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,33.33333333333333,36.787944117144235,60.0,60.0,8307.0,8307.0,8307.0,8307,8307,53.97,53.97,53.97,53.97,53.97
phi4_16ec_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,33.33333333333333,36.787944117144235,60.0,60.0,8362.0,8362.0,8362.0,8362,8362,55.06,55.06,55.06,55.06,55.06
phi4_1700_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2552.0,2552.0,2552.0,2552,2552,15.72,15.72,15.72,15.72,15.72
phi4_1a14_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,50.0,60.653065971263345,80.0,100.0,5850.0,5850.0,5850.0,5850,5850,41.01,41.01,41.01,41.01,41.01
phi4_1a54_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,1,0,0.0,0.0,0.0,0.0,0.0,16519.0,16519.0,16519.0,16519,16519,131.27,131.27,131.27,131.27,131.27
phi4_1ada_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2767.0,2767.0,2767.0,2767,2767,19.84,19.84,19.84,19.84,19.84
phi4_1bcf_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2242.0,2242.0,2242.0,2242,2242,13.5,13.5,13.5,13.5,13.5
phi4_1ea5_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,50.0,60.653065971263345,80.0,100.0,5994.0,5994.0,5994.0,5994,5994,43.76,43.76,43.76,43.76,43.76
phi4_1fd8_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2750.0,2750.0,2750.0,2750,2750,19.45,19.45,19.45,19.45,19.45
phi4_2090_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,50.0,60.653065971263345,80.0,100.0,5259.0,5259.0,5259.0,5259,5259,33.45,33.45,33.45,33.45,33.45
phi4_20da_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2757.0,2757.0,2757.0,2757,2757,19.58,19.58,19.58,19.58,19.58
phi4_212a_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2268.0,2268.0,2268.0,2268,2268,14.03,14.03,14.03,14.03,14.03
phi4_2234_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2732.0,2732.0,2732.0,2732,2732,19.12,19.12,19.12,19.12,19.12
phi4_23b6_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,20.0,13.53352832366127,19.999999999999996,30.0,14826.0,14826.0,14826.0,14826,14826,101.09,101.09,101.09,101.09,101.09
phi4_23e2_psg_batch,phi4,NP,psg,phi4_psg_NP,1,1,0,0.0,0.0,0.0,0.0,0.0,14413.0,14413.0,14413.0,14413,14413,99.26,99.26,99.26,99.26,99.26
phi4_23f3_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2757.0,2757.0,2757.0,2757,2757,19.65,19.65,19.65,19.65,19.65
phi4_2401_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2242.0,2242.0,2242.0,2242,2242,13.5,13.5,13.5,13.5,13.5
phi4_243b_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2242.0,2242.0,2242.0,2242,2242,13.5,13.5,13.5,13.5,13.5
phi4_2579_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2426.0,2426.0,2426.0,2426,2426,17.34,17.34,17.34,17.34,17.34
phi4_2673_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2306.0,2306.0,2306.0,2306,2306,14.85,14.85,14.85,14.85,14.85
phi4_2887_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2245.0,2245.0,2245.0,2245,2245,13.55,13.55,13.55,13.55,13.55
phi4_2988_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,50.0,60.653065971263345,80.0,100.0,5279.0,5279.0,5279.0,5279,5279,34.0,34.0,34.0,34.0,34.0
phi4_2bac_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2750.0,2750.0,2750.0,2750,2750,19.47,19.47,19.47,19.47,19.47
phi4_2c5b_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2242.0,2242.0,2242.0,2242,2242,13.75,13.75,13.75,13.75,13.75
phi4_2c68_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2750.0,2750.0,2750.0,2750,2750,19.47,19.47,19.47,19.47,19.47
phi4_2db9_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,20.0,13.53352832366127,19.999999999999996,30.0,13625.0,13625.0,13625.0,13625,13625,80.47,80.47,80.47,80.47,80.47
phi4_31c8_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2756.0,2756.0,2756.0,2756,2756,28.11,28.11,28.11,28.11,28.11
phi4_3255_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2750.0,2750.0,2750.0,2750,2750,19.5,19.5,19.5,19.5,19.5
phi4_337f_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2757.0,2757.0,2757.0,2757,2757,19.61,19.61,19.61,19.61,19.61
phi4_3385_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2750.0,2750.0,2750.0,2750,2750,19.49,19.49,19.49,19.49,19.49
phi4_369e_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2393.0,2393.0,2393.0,2393,2393,16.46,16.46,16.46,16.46,16.46
phi4_36ce_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2426.0,2426.0,2426.0,2426,2426,17.34,17.34,17.34,17.34,17.34
phi4_37e5_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2242.0,2242.0,2242.0,2242,2242,13.51,13.51,13.51,13.51,13.51
phi4_3a6c_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2245.0,2245.0,2245.0,2245,2245,13.55,13.55,13.55,13.55,13.55
phi4_3a85_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2756.0,2756.0,2756.0,2756,2756,19.6,19.6,19.6,19.6,19.6
phi4_3b43_psg_batch,phi4,P,psg,phi4_psg_P,30,0,30,100.0,100.0,100.0,100.0,100.0,2242.7,2242.7,2242.0,2242,2245,14.101333333333335,14.101333333333335,13.96,13.82,16.04
phi4_3b43_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,30,0,30,100.0,100.0,100.0,100.0,100.0,2749.4333333333334,2749.4333333333334,2750.0,2732,2787,21.476,21.476,20.119999999999997,19.68,59.68
phi4_3cb5_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2757.0,2757.0,2757.0,2757,2757,19.58,19.58,19.58,19.58,19.58
phi4_3e11_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2750.0,2750.0,2750.0,2750,2750,19.5,19.5,19.5,19.5,19.5
phi4_3f79_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2756.0,2756.0,2756.0,2756,2756,19.58,19.58,19.58,19.58,19.58
phi4_3f85_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2750.0,2750.0,2750.0,2750,2750,19.57,19.57,19.57,19.57,19.57
phi4_40f0_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2242.0,2242.0,2242.0,2242,2242,13.5,13.5,13.5,13.5,13.5
phi4_41e9_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2813.0,2813.0,2813.0,2813,2813,20.64,20.64,20.64,20.64,20.64
phi4_425f_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2245.0,2245.0,2245.0,2245,2245,13.55,13.55,13.55,13.55,13.55
phi4_426b_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2686.0,2686.0,2686.0,2686,2686,18.28,18.28,18.28,18.28,18.28
phi4_4286_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,50.0,60.653065971263345,80.0,100.0,5182.0,5182.0,5182.0,5182,5182,31.94,31.94,31.94,31.94,31.94
phi4_42fd_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,50.0,60.653065971263345,80.0,100.0,5782.0,5782.0,5782.0,5782,5782,39.81,39.81,39.81,39.81,39.81
phi4_4381_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2245.0,2245.0,2245.0,2245,2245,13.55,13.55,13.55,13.55,13.55
phi4_459c_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,50.0,60.653065971263345,80.0,100.0,5279.0,5279.0,5279.0,5279,5279,34.0,34.0,34.0,34.0,34.0
phi4_45ce_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2245.0,2245.0,2245.0,2245,2245,13.57,13.57,13.57,13.57,13.57
phi4_45fe_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2732.0,2732.0,2732.0,2732,2732,19.12,19.12,19.12,19.12,19.12
phi4_4872_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2675.0,2675.0,2675.0,2675,2675,18.08,18.08,18.08,18.08,18.08
phi4_4888_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,50.0,60.653065971263345,80.0,100.0,5711.0,5711.0,5711.0,5711,5711,38.43,38.43,38.43,38.43,38.43
phi4_48e8_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2634.0,2634.0,2634.0,2634,2634,17.53,17.53,17.53,17.53,17.53
phi4_49e6_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2245.0,2245.0,2245.0,2245,2245,13.55,13.55,13.55,13.55,13.55
phi4_4b52_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2622.0,2622.0,2622.0,2622,2622,17.14,17.14,17.14,17.14,17.14
phi4_4eba_psg_batch,phi4,NP,psg,phi4_psg_NP,1,1,0,0.0,0.0,0.0,0.0,0.0,14168.0,14168.0,14168.0,14168,14168,94.29,94.29,94.29,94.29,94.29
